illumination,Date,Text1
91.73% Visible,Moon phase details at 7 June 2012,"372,946.20 km"
84.35% Visible,Moon phase details at 8 June 2012,"377,472.69 km"
75.53% Visible,Moon phase details at 9 June 2012,"382,339.50 km"
65.85% Visible,Moon phase details at 10 June 2012,"387,255.94 km"
55.83% Visible,Moon phase details at 11 June 2012,"391,948.33 km"
45.85% Visible,Moon phase details at 12 June 2012,"396,178.67 km"
36.26% Visible,Moon phase details at 13 June 2012,"399,755.81 km"
27.33% Visible,Moon phase details at 14 June 2012,"402,538.73 km"
19.31% Visible,Moon phase details at 15 June 2012,"404,433.61 km"
12.41% Visible,Moon phase details at 16 June 2012,"405,387.54 km"
6.85% Visible,Moon phase details at 17 June 2012,"405,381.73 km"
2.83% Visible,Moon phase details at 18 June 2012,"404,426.72 km"
0.53% Visible,Moon phase details at 19 June 2012,"402,560.62 km"
0.06% Visible,Moon phase details at 20 June 2012,"399,850.53 km"
1.53% Visible,Moon phase details at 21 June 2012,"396,395.79 km"
4.96% Visible,Moon phase details at 22 June 2012,"392,331.61 km"
10.31% Visible,Moon phase details at 23 June 2012,"387,830.64 km"
17.43% Visible,Moon phase details at 24 June 2012,"383,101.00 km"
26.13% Visible,Moon phase details at 25 June 2012,"378,379.39 km"
36.09% Visible,Moon phase details at 26 June 2012,"373,919.30 km"
46.93% Visible,Moon phase details at 27 June 2012,"369,975.24 km"
