illumination,Date,Text1
88.96% Visible,Moon phase details at 4 January 1985,"396,732.33 km"
94.5% Visible,Moon phase details at 5 January 1985,"392,601.51 km"
98.27% Visible,Moon phase details at 6 January 1985,"388,010.83 km"
99.94% Visible,Moon phase details at 7 January 1985,"383,189.86 km"
99.26% Visible,Moon phase details at 8 January 1985,"378,394.54 km"
96.11% Visible,Moon phase details at 9 January 1985,"373,891.00 km"
90.54% Visible,Moon phase details at 10 January 1985,"369,936.57 km"
73.33% Visible,Moon phase details at 12 January 1985,"364,548.29 km"
62.64% Visible,Moon phase details at 13 January 1985,"363,427.06 km"
51.33% Visible,Moon phase details at 14 January 1985,"363,459.56 km"
40% Visible,Moon phase details at 15 January 1985,"364,639.93 km"
29.25% Visible,Moon phase details at 16 January 1985,"366,895.06 km"
19.62% Visible,Moon phase details at 17 January 1985,"370,089.96 km"
11.59% Visible,Moon phase details at 18 January 1985,"374,037.13 km"
5.52% Visible,Moon phase details at 19 January 1985,"378,509.65 km"
1.65% Visible,Moon phase details at 20 January 1985,"383,257.22 km"
0.05% Visible,Moon phase details at 21 January 1985,"388,023.62 km"
0.67% Visible,Moon phase details at 22 January 1985,"392,563.58 km"
3.33% Visible,Moon phase details at 23 January 1985,"396,656.91 km"
7.81% Visible,Moon phase details at 24 January 1985,"400,118.14 km"
13.81% Visible,Moon phase details at 25 January 1985,"402,801.11 km"
21.05% Visible,Moon phase details at 26 January 1985,"404,599.12 km"
29.26% Visible,Moon phase details at 27 January 1985,"405,442.50 km"
38.15% Visible,Moon phase details at 28 January 1985,"405,295.84 km"
47.48% Visible,Moon phase details at 29 January 1985,"404,156.80 km"
56.98% Visible,Moon phase details at 30 January 1985,"402,057.85 km"
66.38% Visible,Moon phase details at 31 January 1985,"399,070.54 km"
75.38% Visible,Moon phase details at 1 February 1985,"395,310.83 km"
83.6% Visible,Moon phase details at 2 February 1985,"390,942.70 km"
90.62% Visible,Moon phase details at 3 February 1985,"386,177.32 km"
95.98% Visible,Moon phase details at 4 February 1985,"381,265.54 km"
99.21% Visible,Moon phase details at 5 February 1985,"376,483.25 km"
99.93% Visible,Moon phase details at 6 February 1985,"372,111.29 km"
97.91% Visible,Moon phase details at 7 February 1985,"368,412.70 km"
93.19% Visible,Moon phase details at 8 February 1985,"365,611.19 km"
86.02% Visible,Moon phase details at 9 February 1985,"363,873.47 km"
76.9% Visible,Moon phase details at 10 February 1985,"363,297.54 km"
66.43% Visible,Moon phase details at 11 February 1985,"363,907.25 km"
55.27% Visible,Moon phase details at 12 February 1985,"365,652.96 km"
44.04% Visible,Moon phase details at 13 February 1985,"368,417.43 km"
33.3% Visible,Moon phase details at 14 February 1985,"372,026.34 km"
23.53% Visible,Moon phase details at 15 February 1985,"376,262.30 km"
15.14% Visible,Moon phase details at 16 February 1985,"380,881.44 km"
8.44% Visible,Moon phase details at 17 February 1985,"385,630.94 km"
3.62% Visible,Moon phase details at 18 February 1985,"390,265.64 km"
0.81% Visible,Moon phase details at 19 February 1985,"394,562.00 km"
0.01% Visible,Moon phase details at 20 February 1985,"398,327.78 km"
1.16% Visible,Moon phase details at 21 February 1985,"401,406.99 km"
4.13% Visible,Moon phase details at 22 February 1985,"403,680.51 km"
8.75% Visible,Moon phase details at 23 February 1985,"405,063.81 km"
14.82% Visible,Moon phase details at 24 February 1985,"405,503.70 km"
22.11% Visible,Moon phase details at 25 February 1985,"404,976.13 km"
30.41% Visible,Moon phase details at 26 February 1985,"403,486.61 km"
39.48% Visible,Moon phase details at 27 February 1985,"401,073.72 km"
49.06% Visible,Moon phase details at 28 February 1985,"397,815.09 km"
58.9% Visible,Moon phase details at 1 March 1985,"393,833.96 km"
